transect,old_tag,new_tag,species,status93,status13,status22,diam93,rad1993,cross1993,basal_area_1993,diam13,rad2013,cross2013,basal_area_2013,diam22,rad2022,cross2022,basal_area_2022
A,1,A8225,Pseudopanax arboreus,A,D,D,13.4,6.7,1.410260942,15.66956602,0,0,0,0,0,0,0,0
C,6,,Pseudopanax crassifolius,A,A,A,6.2,3.1,0.301907054,3.354522822,6.9,3.45,0.373928066,4.154756284,6.8,3.4,0.363168111,4.035201231
D,7,A8554,Pseudopanax crassifolius,A,A,A,7,3.5,0.3848451,4.276056667,7.4,3.7,0.430084034,4.778711492,7,3.5,0.3848451,4.276056667
D,11,,Pseudopanax crassifolius,A,A,A,10.7,5.35,0.899202357,9.991137303,11.6,5.8,1.056831769,11.74257521,12.6,6.3,1.246898124,13.8544236
F,34,A8626,Pseudopanax discolor,A,A,A,9,4.5,0.636172512,7.068583471,8.7,4.35,0.59446787,6.605198554,8.5,4.25,0.567450173,6.305001923
B,56C,,Pseudopanax discolor,,,A,,0,0,0,,0,0,0,6.3,3.15,0.311724531,3.463605901
A,1,A8568,Pterophylla sylvicola,A,D,D,5.2,2.6,0.212371663,2.359685149,0,0,0,0,0,0,0,0
A,1,A8699,Pterophylla sylvicola,A,A,A,8.8,4.4,0.608212338,6.757914864,0,0,0,0,11.3,5.65,1.002874915,11.14305461
A,1,,Pterophylla sylvicola,A,D,D,7.3,3.65,0.418538681,4.650429792,0,0,0,0,0,0,0,0
A,1,,Pterophylla sylvicola,A,D,D,5.8,2.9,0.264207942,2.935643802,0,0,0,0,0,0,0,0
A,2,A8556,Pterophylla sylvicola,A,D,D,12.2,6.1,1.168986626,12.98874029,0,0,0,0,0,0,0,0
A,2,A8651,Pterophylla sylvicola,A,A,A,8.2,4.1,0.528101725,5.867796945,8.4,4.2,0.554176944,6.157521601,8.7,4.35,0.59446787,6.605198554
A,2,A8701,Pterophylla sylvicola,A,D,D,7.4,3.7,0.430084034,4.778711492,0,0,0,0,0,0,0,0
A,2,A8758,Pterophylla sylvicola,A,D,D,9,4.5,0.636172512,7.068583471,0,0,0,0,0,0,0,0
A,2,,Pterophylla sylvicola,A,D,D,11.4,5.7,1.020703453,11.34114948,0,0,0,0,0,0,0,0
A,2,,Pterophylla sylvicola,A,D,D,7.5,3.75,0.441786467,4.908738521,0,0,0,0,0,0,0,0
A,3,A8560,Pterophylla sylvicola,A,D,D,7.1,3.55,0.395919214,4.39910238,0,0,0,0,0,0,0,0
A,3,A8700,Pterophylla sylvicola,A,A,D,9.8,4.9,0.754296396,8.381071068,0,0,0,0,0,0,0,0
A,3,,Pterophylla sylvicola,A,D,D,7.7,3.85,0.465662571,5.174028568,0,0,0,0,0,0,0,0
A,3,,Pterophylla sylvicola,A,D,D,7.8,3.9,0.477836243,5.309291585,0,0,0,0,0,0,0,0
A,3,,Pterophylla sylvicola,A,D,D,7.3,3.65,0.418538681,4.650429792,0,0,0,0,0,0,0,0
A,4,A8331,Pterophylla sylvicola,A,D,D,7,3.5,0.3848451,4.276056667,0,0,0,0,0,0,0,0
F,4,A8536,Pterophylla sylvicola,A,A,D,25.3,12.65,5.027255104,55.85839005,28.3,14.15,6.290175351,69.89083723,,0,0,0
D,4,A8728,Pterophylla sylvicola,A,A,A,5.5,2.75,0.237582944,2.639810494,10.8,5.4,0.916088418,10.1787602,10.50,5.25,0.865901475,9.621127502
